Title,Post ID,URL,Price,Description,Days Posted,Location
Owner Finance 3plex and fix and flips (La Junta),7565611213,https://pueblo.craigslist.org/reo/7565611213.html,"$195,000 ","No Banks or Credit Needed for any property  3plex - $195,000 rents $2500+/-, $35k down payment owner carry 0% for two months, 6.5% interest only for 22 more months and then ideally you have your bank loan.  Also three fix and flips with the estimated numbers below. I don't know the market extremely well, so we'll have to do some more research on sales price, but I think the following estimates are fair. In all cases, if you put down the remodel money, I will sell you the property and loan 100% of that back to you as the property gets remodeled and will carry the balance at 0% interest for six months during the flip. 1) Price $43,500 needs $45k in remodel, comps at $125k-$145k? Small 2 bedroom one bath with good garage and great yard 2) Price $65k needs $55k in remodel, comps at $165k-$195k? Four bed 2 bath 3) Price $13,500 - remodel depends on what you turn it into...ARV comps from $30k-$200k+. This is a commercial property that could maybe go residential, maybe be made into storage units, or many other uses. I think you could turn it into 4 condos or a 4 plex for $100k and it would be worth over $200,000. Could also be rented as a giant storage as is to a contractor/plumber type person. I would think $900/month as is on a $13,500 investment.  These are actually my son's properties, but I can help answer any questions. thanks, Lanc",22 days ago,N/A
"**CASH FLOW 10 unit multifamily** (Breckenridge, TX)",7566525143,https://abilene.craigslist.org/reb/7566525143.html,$1 ,10 UNIT MULTIFAMILY   MUST CALL   CALL TEXT 2.1.4 - 4.7.1 - 2.9.2.6 for: - Additional Info - Comps - Photos - Access - Tax Roll - Price - Est. Rent Rates - Est. ARV - Rehab - Close Date  **AS-IS CASH TRANSACTION // MUST CLOSE CASH or HARD MONEY**,20 days ago,N/A
MULTIPLE LOT PACKAGES 12 - 60 (MORIARTY),7568533886,https://albuquerque.craigslist.org/reb/7568533886.html,"$30,000 ","Original Townsite of Moriarty Lots with ALL City Utility available . Just SW of traffic light at NM 41 and Martinez Rd. 2 Miles south of I-40.   Sellers will finance and open to exchanges. 12 Lots in Packages from $30K on up.  Also, one commercial lot .37 AC offered for $30K. Total of 190 lots available . Prior approved redvelopment project with 82 doors multifamily included with 60 SFR lots. Will need to resubmit.",14 days ago,N/A
"Stop! We have the investment properties and funding you're looking for (Oklahoma City, OK)",7571072465,https://oklahomacity.craigslist.org/reo/7571072465.html,N/A,"We aren’t your typical wholesaler… because we also get you the money you need for multiple deals at a time! Fix-n-Flips, Long Term Rentals, Commercial, Multi-Family, and much more!! Up to 80% LTV, terms from 3 months to 10 years. With convenient draw schedules for improvements and quick closing! Click on the link below for more info or if you already have a deal ready to fund we can get a quote within 24 hours!!",7 days ago,N/A
MULTI- FAMILY LAND 11.22 acres,7555345099,https://roswell.craigslist.org/reo/7555345099.html,"$49,900 ","11.22 acres of land consisting of 2 tracts of land right next to each other. Both tracts are zoned Multi-Family allowing up to 4 units or homes on each tract. These are very rare pieces of land within Buena Vida. There is only one other tract owned by an individual zoned multi- family according to the covenants. The other multi-family properties are owned by Buena Vida. I have included pics of the covenants. This is a very nice area to build with several new homes currently being built. The east boundary of the property borders Tierra Grande and it is only the 2nd tract to the right after you pass through the gate so super easy access, very flat buildable lots, other houses and power near by. This is your chance to build 8 units, or live on one tract and build 4 units, or just have a nice large homestead. Unique opportunity! Asking $49,900 for both tracts combined. I am open to offers, possible owner finance, or possible trades of property or other items plus cash equaling the value. Coordinates are about the center of both properties  33°21'38""N, 104°42'19""W  PM me or text 57five-91four-3385.",2 months ago,N/A
Villas de Las Soleras townhouse for sale in Santa Fe! (4910 Venado Peak),7565320657,https://albuquerque.craigslist.org/reb/7565320657.html,"$610,000 ","Better than new Villas de Las Soleras townhouse for sale in Santa Fe. 2,320 square ft home with 3 bedrooms and 2.5 baths. Upgrades throughout! Chefs kitchen with lots of cabinet space and a Primary bedroom Suite on the main level w soaking tub, separate shower and large walk in closet. Upstairs has upgraded loft area for an additional family flex space. Lots of closet space, tankless hot water, second floor walk out deck offers sunset views, first floor private outdoor patio space with new turf & cement pad walled-in for privacy, upgraded front door with glass panels, all window coverings, 2 car garage leads into the home. Only minutes to Cerrillos Road and I-25, with easy access to downtown and Albuquerque, local shopping and easy access to Los Alamos. Nestled between the Santa Fe Outlet Mall and Santa Fe Village Mall neighboring the new Presbyterian Hospital. Villas de Las Soleras includes a Fiber network that provides fast, reliable, multi-user Internet needed in homes today & in the future, shopping and dining, medical and retail. A park, paved walking and bike paths located within the community.  ​Contact Information: Valerie Almanzar Keller Williams Realty Your Casa Team  show contact info  /  show contact info ​​",23 days ago,N/A
Off Market 11 Unit Lawton Complex,7554676384,https://lawton.craigslist.org/reb/7554676384.html,"$535,000 ","11 Units close to Fort Sill Military Baseand Cameron University! Has newgate, roof, siding, and floors, this hasbeen well taken care of and recently remodeled!  *I am a licensed real estate professional in the state of Oklahoma. I will need a signed overview form of company and non-representation agreement to see full property address*",2 months ago,N/A
OKC Investment Property (Buy & Hold) (Oklahoma City),7572911305,https://oklahomacity.craigslist.org/reb/7572911305.html,N/A,"2/1 1988 Build 945 sq ft  Price: $81,500 Estimated ARV: $125,000  OFF MARKET RENTAL ON A GREAT STREET! TENANT OCCUPIED UNTIL 5/23. PROPERTY IN GOOD CONDITION WITH HAPPY TENANTS. GARAGE HAS BEEN CONVERTED TO ADDITIONAL LIVING SPACE. UPDATED VINYL EXTERIOR SIDING. EASY BUY AND HOLD FOR A LONG-TERM INVESTOR.",about 6 hours ago,N/A
Great property for sale looking for a good deal this is it (Lubbock),7570842383,https://lubbock.craigslist.org/reo/7570842383.html,N/A,"g to find a great home owner or investor who may be interested in a great deal on a property on the west end of town great deal and will go quickly !!!!  4912 44th St, Lubbock, TX 79414 bd2 ba1,323 sqft 3 bd 2 ba 1,323 sqf brick home with huge front and back yard for all your family gatherings contact  Dennis Carrizales @  show contact inf",8 days ago,4912 44th near Wayne ave
($25K) OFF MARKET PROPERTY IN WICHITA FALLS (Wichita Falls),7570337754,https://wichitafalls.craigslist.org/reb/7570337754.html,"$24,999 ","act Alec Deutschmann ASAP at  show contact info  for info on this house or if you’re interested in off-market properties in general!  I get anywhere from 40-60 primarily off-market properties around the DFW metroplex under contract each month that I sell to cash investors that either flip/rent/or move into and refinance once closed.  If you or anybody you know has at least $30K cash in hand towards a property, please give me a call or text at  show contact info  and I will be happy to review our processes with you!!!",9 days ago,N/A
Off Market Del City Investment Property (Epperly Heights School),7558214327,https://oklahomacity.craigslist.org/reb/7558214327.html,"$69,000 ","OFF MARKET Del City 3/1/1 Vacant on Lockbox and ready for its next investor! Home will need full updating inside and out, along with replacement of condenser and water heater.  CMA:$145,000 Solid Comps in the area  Give me a call!  *I am a licensed real estate professional in the state of Oklahoma. I will need a signed overview form of company and non-representation agreement to see full property address*",about a month ago,N/A
Off-Market Flip/Rental in Del City - $82k (Mansfield Third Add),7572914391,https://oklahomacity.craigslist.org/reb/7572914391.html,N/A,"Del City, OK 73115 2/1 1988 Build  CMA: $125,000 Price: $81,500  Off-Market Rental on a great street! Tenant Occupied until 5/23. Property in good condition with happy tenants. Garage has been converted to additional living space. Updated vinyl exterior siding. Easy buy and hold for a long-term investor.  Call me to lock this up!",about 6 hours ago,N/A
Real-estate for sale by owner great investment opportunity!! !! (lubbock  tx),7570408597,https://lubbock.craigslist.org/reo/7570408597.html,N/A,"ave a great home for sale, in the medical district ,great rental income property for any home owner or investor looking for a great opportunity wont last long  call and get your viewing  appointment set and your offer in hot wont last!!! 3418 24th st Lubbock Tx 79410 3-bdr 1.5 bath  1,086 sqft contact Dennis Carrizales @  show contact inf",9 days ago,3418 24th near indiana
Off-Market Flip/Rental in Mid-Del - $111k (Del Crest Heights),7568224961,https://oklahomacity.craigslist.org/reb/7568224961.html,N/A,"Oklahoma City, OK 73115 3/1.5/2 1961 Build  CMA: $175,000 Price: $110,500  Off market 3 bed 1.5 bath in Mid-Del area. Effective year build on this is 1991 so everything is up to code, Great property to BRRR and have rent ready in no time. Comps avg $140-$150/sqft for neighborhood so there a ton of equity on this. Light cosmetics needed. Roof replaced in 2021 all big-ticket items are in good working condition. Call me now to secure this slam dunk!!!  Investor Notes:  * Brick Build! * 3 of 3 Comps sold at or above list! * Average Rents for the area are around $1,200 per month * Nearby comps indicate average sold price of $140+ per sq foot!",15 days ago,N/A
"Off Market 3/2 under 25K (Wichita Falls, TX)",7566313514,https://wichitafalls.craigslist.org/reb/7566313514.html,N/A,"ff market 3/2 needing full rehab  under 25k purchase price  reach out for more details  JOIN MY BUYER'S LIST FOR OFF MARKET DEALS  *** INVESTORS ONLY ***  20+ Off Market, distressed properties EACH week in Tarrant County. Sold As-Is Condition & Close within 2 weeks... I have a property for EVERY Investor!  Call/Text me for more info  show contact info   Landon Beach New Western  Real Estate Investment Agent   #769236 | Brokerage # 607371 1001 S. Main Street, Suite 251, Fort Worth, TX, 76104 show contact info   rental, off market, duplex, property, investment, as-is, flip, landlord, Arlington, Grand Prairie, DFW, Dallas, Fort Worth, Tarrant County, White Settlement, Mid-Cities, Haltom City, Hurst, Saginaw, Forest Hill, North Richland Hills, Lake Worth, Weatherford, Deals, rehab, Waco, Forest Hill",21 days ago,N/A
Off-Market Flip/Rental in Del City - $79k (Crosby Heights 6th),7572922064,https://oklahomacity.craigslist.org/reo/7572922064.html,N/A,"Del City, OK 73115 3/1 1970 Build  CMA: $122,000 Price: $79k  Off-Market 3/1 and a converted garage with equity! Market Rental Rates are about $1,100 for similar properties in the area. Tenant occupied until 5/23. Great addition to any portfolio. Close to Tinker and Mid-Del shopping. Call to secure this deal today!  Investor Notes:  * Tenant occupied! * 3 of 3 comps sold at or above list! * Nearby comps indicate average sold value of $146+ per square f",about 5 hours ago,N/A
DUPLEX PACKAGE IN MORAN (Moran),7572855095,https://abilene.craigslist.org/reb/7572855095.html,"$300,000 ","act Alec Deutschmann ASAP at  show contact info  for info on this house or if you’re interested in off-market properties in general!  I get anywhere from 40-60 primarily off-market properties around the DFW metroplex under contract each month that I sell to cash investors that either flip/rent/or move into and refinance once closed.  If you or anybody you know has at least $30K cash in hand towards a property, please give me a call or text at  show contact info  and I will be happy to review our processes with you!!",about 8 hours ago,N/A
Putnam Heights Fix N' Flip (REI) (Oklahoma City),7566459472,https://oklahomacity.craigslist.org/reb/7566459472.html,N/A,"4/2/1 Build 2,069 sq ft  Price: $299,900 Estimated ARV: $455,000  Off-Market CLEAN Putnam Heights Flip! This 4/2/1 sitting at 2,069 sqft is in good shape as is. We recommend a cosmetic face lift to reach that next level and hit top comps reaching up to $226/sqft! With this spread, you can't go wrong on this one - contact me to secure this property today!  Investors Notes: ** All comps are 3/2 - we have an extra bedroom! ** All comps are within walking distance of subject property!",20 days ago,N/A
6 Duplex Package In Moran TX (Moran),7572851118,https://abilene.craigslist.org/reb/7572851118.html,"$300,000 ","act Alec Deutschmann ASAP at  show contact info  for info on this house or if you’re interested in off-market properties in general!  I get anywhere from 40-60 primarily off-market properties around the DFW metroplex under contract each month that I sell to cash investors that either flip/rent/or move into and refinance once closed.  If you or anybody you know has at least $30K cash in hand towards a property, please give me a call or text at  show contact info  and I will be happy to review our processes with you!!",about 8 hours ago,N/A
* Put a Las Vegas Boxabl on 30 acres * (Carrizozo),7572073869,https://albuquerque.craigslist.org/reo/7572073869.html,"$35,000 ","* Put a Las Vegas Boxabl on 30 acres * 134 Ranch View Loop Road, Carrizozo NM 88301 - cross street Highway 54 *** Land *** 30 acres in NM $35,000 or best offer - Will consider Lease-To-Own with $5,000 down and $200 per month for 2 years! Now on the MLS buyers agents get 2.5%  For Investors or Owner Occupied we have a good mortgage broker with great loan programs which includes funds for building! Build and stay or fix and flip Looking for a different property in a different area give us a call More Pictures and Information at NH Big Inc - do the search Dan Ringwald  show contact info  Call or Text me any time!  HOMEOWNERS and RETIREES - Dump the cold and move into the sunshine! Build Your Dream Home on 30 Acres in the sun Build a green energy efficient Solar Home - Go Green and Kick Gas! Go all Electric with Solar, Wind Generator, and backup Batteries - on or off the Grid! PersonalPowerProject.com - Solar - Work From Home income!",3 days ago,Ranch View Loop Road near Highway 54
Off-Market Flip/Rental in Edmond - $100k (Scissortail Landing 4th),7564889755,https://oklahomacity.craigslist.org/reb/7564889755.html,N/A,"Edmond, OK 73012 4/2 2009 Build  CMA: $270,000+ Price: $99,900  OFF MARKET 4 BED 2 BATH IN EDMOND! HOME SALES RANGE FROM $145/SQFT TO $160/SQFT IN THIS AREA. PROPERTY WILL NEED FULL REHAB. CONTACT ME TO SECURE THIS INVESTMENT TODAY.  Investor Notes:  * 2 of 3 comps on market for 1 day or less! * 2 of 3 comps sold at or above list! * Nearby comps indicate average sale price of $152+",24 days ago,N/A
looking for a good home to settle your family in take a look here!!! (lubbock  tx),7571014723,https://lubbock.craigslist.org/reo/7571014723.html,N/A,"g for a great home to bring your family into and call home take a look at this great deal here  for any first time home ownwer ,investor as a investment property or passive income for anyone this is the ideal choice call and schedule your viewing now contact Dennis Carrizales @ show contact info   6315 27th St, Lubbock, TX 79407 3 bd 1.5 ba 1,128 sqf",7 days ago,6315 27th
Brick 3bd/2bth/2Car (Owner Financing/No Banks/No Credit-No Problem) (oklahoma),7569700545,https://oklahomacity.craigslist.org/reo/7569700545.html,"$267,000 ","Brick 3bd/2bth/2Car. 1909SQFT. Recently Updated. Built 1999. Schools: Broad Moore, Highland East, & Moore Highschool.-Great-Neighborhood with Pond, Park, & Basketball Court. CH&A 1 year old. Roof was done at the beginning of this year. New garage door and motor. Massive 10 ft Walk in closets.  Purchase Price: 267k- 26-30k Down Payment, $2,079.42/Mo 30yr Am, 9.8% Simple Interest. -- Will also have to pay ""Taxes & Insurance"".  Attention!! Realtors & Investors: I will pay a finders fee of 2k if you introduce me to a buyer.  Since this is an Off Market property & Private Sale, you will need to Sign NDA & Have Proof of funds available to Know of Location & move Forward.  We Close all Transactions through a Reputable Title Company & Seller is a Licensed Realtor",11 days ago,N/A
"MOORE, OK 73160 (Owner Financing/No Banks/No Credit-No Problem) (Oklahoma)",7569136568,https://oklahomacity.craigslist.org/reo/7569136568.html,"$267,000 ","Brick 3bd/2bth/2Car. 1909SQFT. Recently Updated. Built 1999. Schools: Broad Moore, Highland East, & Moore Highschool.-Great-Neighborhood with Pond, Park, & Basketball Court. CH&A 1 year old. Roof was done at the beginning of this year. New garage door and motor. Massive 10 ft Walk in closets.  Purchase Price: 267k- 26-30k Down Payment, $2,079.42/Mo 30yr Am, 9.8% Simple Interest. -- Will also have to pay ""Taxes & Insurance"".  Attention!! Realtors & Investors: I will pay a finders fee of 2k if you introduce me to a buyer.  Since this is an Off Market property & Private Sale, you will need to Sign NDA & Have Proof of funds available to Know of Location & move Forward.  We Close all Transactions through a Reputable Title Company & Seller is a Licensed Realtor  Call  show contact info  for more information.",13 days ago,N/A
"For sale 3/1 in Arnett Benson
            (google map)
        ",7558877548,https://lubbock.craigslist.org/reo/7558877548.html,"$79,000 ",For sale a 3/1 house in Lubbock's Arnett Benson. This property is perfect for a home owner or investor. Currently rented for $700/month. Seller is open to financing with a minimum of 20% down.,about a month ago,N/A
$25K OFF MARKET INVESTMENT OPPORTUNITY IN WICHITA FALLS (Wichita Falls),7570338448,https://wichitafalls.craigslist.org/reb/7570338448.html,"$24,999 ","act Alec Deutschmann ASAP at  show contact info  for info on this house or if you’re interested in off-market properties in general!  I get anywhere from 40-60 primarily off-market properties around the DFW metroplex under contract each month that I sell to cash investors that either flip/rent/or move into and refinance once closed.  If you or anybody you know has at least $30K cash in hand towards a property, please give me a call or text at  show contact info  and I will be happy to review our processes with you!!!",9 days ago,N/A
UPDATED* - 11 TURNKEY UNITS IN LAWTON (Lawton),7568770184,https://oklahomacity.craigslist.org/reb/7568770184.html,"$465,000 ","Great turnkey Buy & Hold for investors! Updated the price to move! Everything has been remodeled, new roof, new gate, new siding, new shutters, new flooring, very well taking care of property close to Fort Sill air force base and Cameron University!  Lawton, OK 73507 11 Units 1bd/1ba  Market rents: $6045/mo-$6,270/mo Rents $600-700/u",14 days ago,N/A
NEW 3 BEDROOM SINGLE WIDE HOME FOR SALE AVAIABLE NOW (Abilene),7568538510,https://abilene.craigslist.org/reb/7568538510.html,"$48,500 ",HE GLORY IS ONE OF THE MOST AFFORDABLE 3 BEDROOM HOMES IN TEXAS!!! GREAT FOR THAT NEW FAMILY JUST STARTING OUT OR THAT INVESTOR LOOKING FOR A RENTAL PROPERTY!!!  SINGLE WIDE  OPEN FLOOR CONCEPT VAULTED CEILINGS LOWEST PRICED HOMES IN TEXAS FASTEST DELIVERY TIMES IN THE STATE MOST AGGRESSIVE FINANCING IN THE INDUSTRY  CALL OR TEXT RANDY TO LOCK IN YOUR PROMOTIONS AND RATES  show contact info     RBI 36844  RANDO,14 days ago,1400 W Overland Trail
Investment Opportunity Near the Village (Oklahoma City),7568235374,https://oklahomacity.craigslist.org/reb/7568235374.html,"$109,900 ","Oklahoma City, OK, 73114 3/1.5 1964 Build  CMA Value: $190,000 Price: $109,900  OFF MARKET near The Village in OKC. 3/1.5/0 over 1500 sq ft. ready for its next investor. New roof in 2011, HVAC was update in 2009, new hot water heater installed in 2020 and electrical is in good condition!   ***If you are interested in this property or interested in gaining access to other off-market properties all over Oklahoma do not hesitate to contact me.***",15 days ago,N/A
🔥💸🔥Looking for your next rehab? You found it HERE💸🔥💸 (La Junta),7565372533,https://pueblo.craigslist.org/reo/7565372533.html,"$95,000 ","alling all investors!!!  Great 'rehab to sell' or 'rehab to rent' opportunity in La Junta, Newer roof, water and furnace. After rehab valuation of 210k!!!!!!  Purchase Price*: $95,000.00 Year Built: 1923 Living Sq Ft: 1,683 Beds: 3 Baths: 1 Lot Size: 7,000 sq. ft.  Rent Estimate: $1,200  *Cash and Private Financing Offers Only  Earnest Deposit: $2,000.00 to Fidelity Title  Submit your highest and best offer before to: Jason at  show contact info   This property will not last!  To see all of our available deals, click here: https://www.buycoloradohousesfast.com/investors/  *Suggested Price includes purchase price of the property with our assignment fee included. Buyer's agent fee and/or commission is not included in the offer price. These fees/commissions will be charged to the new buyer in addition to the offer price and will be paid through escrow. This is an assignable contract. do NOT contact me with unsolicited services or offer",23 days ago,Lincoln
TURNKEY 11 Units in Lawton! (Lawton),7565115721,https://oklahomacity.craigslist.org/reb/7565115721.html,"$525,000 ","Great buy & Hold for investors everything has been remodeled, new roof, new gate, new siding, new shutters, new flooring, very well taking care of property close to Fort Sill air force base and Cameron University!  Lawton, OK 73507 11 Units  1bd/1ba  Market rents: $6045/mo-$6,270/mo Rents $600-700/u",24 days ago,N/A
Off-Market Flip/Rental in OKC's Urban Core - $143k! (Linwood Place),7560474135,https://oklahomacity.craigslist.org/reb/7560474135.html,N/A,"Oklahoma City, OK 73107 3/1.5/1 1929 Build  CMA: $285,000 Price: $142,500  Nice buy and hold or flip in Linwood Place! Comparable sold properties avg $204/sqft and have sold over list w/ under 10 days on market! Call me for access or additional information!  Investor Notes:  * Hot Neighborhood * 4 of 4 comps sold in 10 days or less! * 4 of 4 comps sold higher than list! * Comps indicate a value of $204+ per sq f",about a month ago,N/A
Wichita Falls Off Market House for Sale (Wichita Falls),7559332612,https://wichitafalls.craigslist.org/reb/7559332612.html,"$119,999 ","act Casey ASAP at  show contact info  for specs on this house or if you're interested in buying off-market properties in general! I acquire anywhere from 40-60 primarily off-market properties around the DFW metroplex and across Texas under contract each month that I sell to cash investors that either flip/rent/or move into and refinance once closed.   If you or anybody you know has at least $30k cash in hand towards a property, please give me a call or text at  show contact info   and I'll be happy to help you with the process!   yr build: 1963 Bed: 3 Bath: 2 Gar:  2  BROKERAGE: #607371 LICENSE # 786303",about a month ago,N/A
Two Vernon Off Market Houses - Package Deal (Vernon),7558448860,https://wichitafalls.craigslist.org/reb/7558448860.html,"$35,999 ","act Casey ASAP at  show contact info  for specs on this house or if you're interested in buying off-market properties in general! I acquire anywhere from 40-60 primarily off-market properties around the DFW metroplex and across Texas under contract each month that I sell to cash investors that either flip/rent/or move into and refinance once closed.   If you or anybody you know has at least $30k cash in hand towards a property, please give me a call or text at  show contact info   and I'll be happy to help you with the process!   yr build: 1983 Bed: 2 Bath: 1   yr build: 1950 Bed: 2 Bath: 1     BROKERAGE: #607371 LICENSE # 786303",about a month ago,N/A
INVESTOR SPECIAL 10+ RV SPACES PARK + 2 HOMES 1.7 ACRES (Wheeler texas),7564548493,https://amarillo.craigslist.org/reo/7564548493.html,"$65,000 ","***PRICE REDUCED!!!*** $65k - RV Park w/ 10 connections  Vacant RV park in Wheeler, TX with existing connections and well. Partially complete, needs some TLC to become a goldmine!  1.7 acres with 10 connections, double carport, plus two for existing buildings needing extensive repair or removal. Perfect for hunters or oil/gas workers. Easy access off of main road.   10k down for easy owner financing or $65k cash, will consider other serious or competitive cash offers!  Call  show contact info  for detail.",25 days ago,N/A
